iter	MultiClass
0	1.036685412
1	0.9949664492
2	0.9500820056
3	0.9039048348
4	0.8571801609
5	0.8247395391
6	0.7899188235
7	0.7511609173
8	0.7188812721
9	0.6915312261
10	0.6611179539
11	0.6389680585
12	0.6185288865
13	0.6035659724
14	0.578371802
15	0.5562678212
16	0.5409302059
17	0.5200013738
18	0.5012049872
19	0.4851520243
20	0.4716400819
21	0.4599825868
22	0.4457498463
23	0.4339282243
24	0.4202935696
25	0.4058818011
26	0.393780065
27	0.3833348847
28	0.3714906701
29	0.3629660841
30	0.3533014383
31	0.3467796701
32	0.3368628178
33	0.3259914979
34	0.3180897553
35	0.3117608639
36	0.3030629309
37	0.2969149182
38	0.2880914669
39	0.2812059503
40	0.2766982025
41	0.2707944118
42	0.2639777583
43	0.2582168288
44	0.2520147719
45	0.2444725459
46	0.2393602036
47	0.2327844656
48	0.2279250032
49	0.2218262859
50	0.2184132817
51	0.2144936808
52	0.2125769941
53	0.2096319982
54	0.2038124406
55	0.1998681534
56	0.1963877399
57	0.1921556332
58	0.1875215472
59	0.1840944286
60	0.1791097843
61	0.1741330143
62	0.172473088
63	0.168889483
64	0.1654157996
65	0.1617165567
66	0.1576160184
67	0.1540814431
68	0.1502703575
69	0.148391227
70	0.1453834116
71	0.141327207
72	0.139342463
73	0.1376515956
74	0.1350108888
75	0.1324927033
76	0.129589139
77	0.1264275808
78	0.1249539367
79	0.1232201611
80	0.120515694
81	0.1184487548
82	0.1169678179
83	0.1152454106
84	0.1135095611
85	0.1114962658
86	0.1103364966
87	0.1085655427
88	0.1061548171
89	0.1044077022
90	0.1026544366
91	0.1012287837
92	0.09993456225
93	0.097778578
94	0.09630231852
95	0.09445130025
96	0.09295191053
97	0.0916317858
98	0.09018507053
99	0.08854204544
100	0.0866821882
101	0.08488818847
102	0.08331988748
103	0.08191163556
104	0.08070973759
105	0.07944122712
106	0.07836029328
107	0.07759955307
108	0.07653743778
109	0.07513968253
110	0.07370396475
111	0.07250620584
112	0.07174922149
113	0.0704887298
114	0.0694226741
115	0.06864490495
116	0.06786723909
117	0.0670266854
118	0.06618766256
119	0.06534777079
120	0.06463552728
121	0.06349870598
122	0.0624656383
123	0.06139892716
124	0.06072588359
125	0.06000958093
126	0.05911620556
127	0.05848410343
128	0.05756231948
129	0.05666530716
130	0.05607866566
131	0.05546642908
132	0.05493768574
133	0.05407201722
134	0.0532083389
135	0.05274441978
136	0.05208686169
137	0.05143248183
138	0.05068787753
139	0.05014844243
140	0.0494597926
141	0.04880769486
142	0.04827398078
143	0.04785539332
144	0.04727256762
145	0.04665915281
146	0.04623617445
147	0.04577029927
148	0.0453370994
149	0.04494942354
150	0.04431257236
151	0.04375281983
152	0.04325767296
153	0.04271953572
154	0.04229466747
155	0.04178897211
156	0.04136354238
157	0.04100096942
158	0.04053766565
159	0.04017497349
160	0.03967182923
161	0.03921804042
162	0.03889407782
163	0.03852125865
164	0.03822821448
165	0.03782358911
166	0.03742365966
167	0.03703174183
168	0.03661362413
169	0.03619879923
170	0.03588355306
171	0.03551694494
172	0.03524325673
173	0.03489909234
174	0.03458087763
175	0.034240553
176	0.03399950039
177	0.03367766675
178	0.03342885521
179	0.03311173375
180	0.03279738223
181	0.03255512259
182	0.03228487345
183	0.03197569446
184	0.03165897501
185	0.03133771031
186	0.03101374271
187	0.03074135916
188	0.03045518976
189	0.03018510716
190	0.02988844783
191	0.02963405924
192	0.02935527367
193	0.02907565346
194	0.02881435314
195	0.02858598258
196	0.02834927537
197	0.0280923585
198	0.02784254871
199	0.02760164999
200	0.02742540873
201	0.02720744033
202	0.02699358627
203	0.02676347538
204	0.02657486511
205	0.02636380602
206	0.02615603393
207	0.02594378516
208	0.02578610423
209	0.02556531586
210	0.0253523322
211	0.02514506002
212	0.0249431979
213	0.02478806139
214	0.02462347179
215	0.02444322931
216	0.02425527192
217	0.02410317134
218	0.02391664134
219	0.02373583708
220	0.02356425822
221	0.02344941485
222	0.0232701175
223	0.0231256104
224	0.02294898096
225	0.02278786682
226	0.02261796199
227	0.02249539509
228	0.02232769647
229	0.02216241579
230	0.02204641915
231	0.02190068947
232	0.02174128453
233	0.02161127657
234	0.02146727901
235	0.02134179768
236	0.0211899074
237	0.02105610288
238	0.02093688057
239	0.02080136094
240	0.02069337688
241	0.02058456101
242	0.02047838633
243	0.02033785986
244	0.02020312207
245	0.02006605856
246	0.01995465877
247	0.01982590904
248	0.01969112217
249	0.01956761461
250	0.01946404328
251	0.01933163845
252	0.01920577842
253	0.01909033687
254	0.01897093977
255	0.01886403123
256	0.01874983064
257	0.01865174619
258	0.01854532364
259	0.01842884856
260	0.01831737287
261	0.01821156081
262	0.01809916161
263	0.01799849074
264	0.01789173078
265	0.0177862293
266	0.01768337564
267	0.01757723468
268	0.01749988509
269	0.01742241071
270	0.01732221893
271	0.01721814923
272	0.01713710669
273	0.01704617642
274	0.01698390195
275	0.01688672203
276	0.01682718034
277	0.01672878173
278	0.01663345228
279	0.01653920426
280	0.0164472754
281	0.01635503425
282	0.01626508577
283	0.01617794575
284	0.01609113969
285	0.01602394102
286	0.0159373833
287	0.01585804359
288	0.01577731033
289	0.01571264481
290	0.01563338418
291	0.01555194593
292	0.01547634994
293	0.0153925424
294	0.0153153276
295	0.0152398512
296	0.01516714387
297	0.01509883096
298	0.01502204857
299	0.014951312
