fold,n_train,n_test,accuracy,precision,recall,f1
1,147,27,0.9259259259259259,0.9753086419753086,0.9259259259259259,0.9378775939059627
2,144,27,1.0,1.0,1.0,1.0
3,147,27,0.9629629629629629,0.9644444444444444,0.9629629629629629,0.9571680524061476
