1777373641.553404000,1,127.0.0.2,127.0.0.8,24
1777373641.553677000,2,127.0.0.8,127.0.0.2,24
1777373651.562337000,1,127.0.0.2,127.0.0.8,24
1777373651.562598000,2,127.0.0.8,127.0.0.2,24
1777373654.316695000,56,127.0.0.8,127.0.0.1,221
1777373654.316927000,56,127.0.0.8,127.0.0.1,221
1777373655.316930000,56,127.0.0.8,127.0.0.1,221
1777373655.317003000,56,127.0.0.8,127.0.0.1,221
1777373656.317232000,56,127.0.0.8,127.0.0.1,221
1777373656.317279000,56,127.0.0.8,127.0.0.1,221
1777373657.318330000,56,127.0.0.8,127.0.0.1,221
1777373657.318411000,56,127.0.0.8,127.0.0.1,221
1777373658.945563000,50,127.0.0.2,127.0.0.8,1107
1777373658.947935000,51,127.0.0.8,127.0.0.2,131
1777373658.977679000,52,127.0.0.2,127.0.0.8,446
1777373658.979656000,53,127.0.0.8,127.0.0.2,29
1777373661.563450000,1,127.0.0.2,127.0.0.8,24
1777373661.563736000,2,127.0.0.8,127.0.0.2,24
1777373671.573151000,1,127.0.0.2,127.0.0.8,24
1777373671.573546000,2,127.0.0.8,127.0.0.2,24
1777373681.574321000,1,127.0.0.2,127.0.0.8,24
1777373681.574634000,2,127.0.0.8,127.0.0.2,24
1777373684.314693000,56,127.0.0.8,127.0.0.1,221
1777373684.314797000,56,127.0.0.8,127.0.0.1,221
1777373684.314870000,56,127.0.0.8,127.0.0.1,221
1777373685.315447000,56,127.0.0.8,127.0.0.1,221
1777373685.315495000,56,127.0.0.8,127.0.0.1,221
1777373685.315516000,56,127.0.0.8,127.0.0.1,221
1777373686.316045000,56,127.0.0.8,127.0.0.1,221
1777373686.316102000,56,127.0.0.8,127.0.0.1,221
1777373686.316140000,56,127.0.0.8,127.0.0.1,221
1777373687.316367000,56,127.0.0.8,127.0.0.1,221
1777373687.316416000,56,127.0.0.8,127.0.0.1,221
1777373687.316436000,56,127.0.0.8,127.0.0.1,221
1777373691.583369000,1,127.0.0.2,127.0.0.8,24
1777373691.583667000,2,127.0.0.8,127.0.0.2,24
1777373692.049006000,54,127.0.0.2,127.0.0.8,24
1777373692.056551000,55,127.0.0.8,127.0.0.2,365
1777373692.291862000,50,127.0.0.2,127.0.0.8,1107
1777373692.295935000,51,127.0.0.8,127.0.0.2,131
1777373692.325089000,52,127.0.0.2,127.0.0.8,446
1777373692.326520000,53,127.0.0.8,127.0.0.2,29
1777373701.590277000,1,127.0.0.2,127.0.0.8,24
1777373701.590573000,2,127.0.0.8,127.0.0.2,24
1777373711.597368000,1,127.0.0.2,127.0.0.8,24
1777373711.597627000,2,127.0.0.8,127.0.0.2,24
1777373714.315026000,56,127.0.0.8,127.0.0.1,221
1777373714.315153000,56,127.0.0.8,127.0.0.1,221
1777373714.315212000,56,127.0.0.8,127.0.0.1,221
1777373715.315508000,56,127.0.0.8,127.0.0.1,221
1777373715.315565000,56,127.0.0.8,127.0.0.1,221
