1777372253.276197677,10.60.0.4,10.60.0.1,188,1
1777372253.297510383,10.60.0.4,10.60.0.1,188,1
1777372253.318535122,10.60.0.4,10.60.0.1,188,1
1777372253.339168446,10.60.0.4,10.60.0.1,188,1
1777372253.360601109,10.60.0.4,10.60.0.1,188,1
1777372253.381522771,10.60.0.4,10.60.0.1,188,1
1777372253.402524778,10.60.0.4,10.60.0.1,188,1
1777372253.423465343,10.60.0.4,10.60.0.1,188,1
1777372253.444320468,10.60.0.4,10.60.0.1,188,1
1777372253.465064936,10.60.0.4,10.60.0.1,188,1
1777372253.486243752,10.60.0.4,10.60.0.1,188,1
1777372253.507339735,10.60.0.4,10.60.0.1,188,1
1777372253.528355150,10.60.0.4,10.60.0.1,188,1
1777372253.549373536,10.60.0.4,10.60.0.1,188,1
1777372253.570422510,10.60.0.4,10.60.0.1,188,1
1777372253.591484792,10.60.0.4,10.60.0.1,188,1
1777372253.612334146,10.60.0.4,10.60.0.1,188,1
1777372253.634371819,10.60.0.4,10.60.0.1,188,1
1777372253.655314187,10.60.0.4,10.60.0.1,188,1
1777372253.676447663,10.60.0.4,10.60.0.1,188,1
1777372253.697474416,10.60.0.4,10.60.0.1,188,1
1777372253.718378950,10.60.0.4,10.60.0.1,188,1
1777372253.739423589,10.60.0.4,10.60.0.1,188,1
1777372253.761844780,10.60.0.4,10.60.0.1,188,1
1777372253.783013434,10.60.0.4,10.60.0.1,188,1
1777372253.804339881,10.60.0.4,10.60.0.1,188,1
1777372253.825091240,10.60.0.4,10.60.0.1,188,1
1777372253.846427847,10.60.0.4,10.60.0.1,188,1
1777372253.867172025,10.60.0.4,10.60.0.1,188,1
1777372253.888661042,10.60.0.4,10.60.0.1,188,1
1777372253.909289784,10.60.0.4,10.60.0.1,188,1
1777372253.930810602,10.60.0.4,10.60.0.1,188,1
1777372253.951502942,10.60.0.4,10.60.0.1,188,1
1777372253.972366727,10.60.0.4,10.60.0.1,188,1
1777372253.993402758,10.60.0.4,10.60.0.1,188,1
1777372254.015195559,10.60.0.4,10.60.0.1,188,1
1777372254.036346535,10.60.0.4,10.60.0.1,188,1
1777372254.057291729,10.60.0.4,10.60.0.1,188,1
1777372254.078359433,10.60.0.4,10.60.0.1,188,1
1777372254.099316136,10.60.0.4,10.60.0.1,188,1
1777372254.120292861,10.60.0.4,10.60.0.1,188,1
1777372254.141179894,10.60.0.4,10.60.0.1,188,1
1777372254.162176515,10.60.0.4,10.60.0.1,188,1
1777372254.183026586,10.60.0.4,10.60.0.1,188,1
1777372254.204295571,10.60.0.4,10.60.0.1,188,1
1777372254.226068001,10.60.0.4,10.60.0.1,188,1
1777372254.247188176,10.60.0.4,10.60.0.1,188,1
1777372254.268118664,10.60.0.4,10.60.0.1,188,1
1777372254.289034458,10.60.0.4,10.60.0.1,188,1
1777372254.310010305,10.60.0.4,10.60.0.1,188,1
1777372254.331189917,10.60.0.4,10.60.0.1,188,1
1777372254.353285240,10.60.0.4,10.60.0.1,188,1
1777372254.374344942,10.60.0.4,10.60.0.1,188,1
1777372254.395053639,10.60.0.4,10.60.0.1,188,1
1777372254.416914589,10.60.0.4,10.60.0.1,188,1
1777372254.437724196,10.60.0.4,10.60.0.1,188,1
1777372254.459200795,10.60.0.4,10.60.0.1,188,1
1777372254.480455772,10.60.0.4,10.60.0.1,188,1
1777372254.501275392,10.60.0.4,10.60.0.1,188,1
1777372254.522608886,10.60.0.4,10.60.0.1,188,1
1777372254.543490525,10.60.0.4,10.60.0.1,188,1
1777372254.564516101,10.60.0.4,10.60.0.1,188,1
1777372254.585460272,10.60.0.4,10.60.0.1,188,1
1777372254.606799036,10.60.0.4,10.60.0.1,188,1
1777372254.627100103,10.60.0.4,10.60.0.1,188,1
1777372254.648463517,10.60.0.4,10.60.0.1,188,1
1777372254.669757700,10.60.0.4,10.60.0.1,188,1
1777372254.690426951,10.60.0.4,10.60.0.1,188,1
1777372254.711574846,10.60.0.4,10.60.0.1,188,1
1777372254.732430927,10.60.0.4,10.60.0.1,188,1
1777372254.753768298,10.60.0.4,10.60.0.1,188,1
1777372254.774791150,10.60.0.4,10.60.0.1,188,1
1777372254.795274426,10.60.0.4,10.60.0.1,188,1
1777372254.816572133,10.60.0.4,10.60.0.1,188,1
1777372254.837744971,10.60.0.4,10.60.0.1,188,1
1777372254.858640871,10.60.0.4,10.60.0.1,188,1
1777372254.879024978,10.60.0.4,10.60.0.1,188,1
1777372254.900007412,10.60.0.4,10.60.0.1,188,1
1777372254.921114940,10.60.0.4,10.60.0.1,188,1
1777372254.942075505,10.60.0.4,10.60.0.1,188,1
1777372254.964029792,10.60.0.4,10.60.0.1,188,1
1777372254.985513088,10.60.0.4,10.60.0.1,188,1
1777372255.006032794,10.60.0.4,10.60.0.1,188,1
1777372255.026971332,10.60.0.4,10.60.0.1,188,1
1777372255.048173238,10.60.0.4,10.60.0.1,188,1
1777372255.069078141,10.60.0.4,10.60.0.1,188,1
1777372255.090178866,10.60.0.4,10.60.0.1,188,1
1777372255.112064814,10.60.0.4,10.60.0.1,188,1
1777372255.133870966,10.60.0.4,10.60.0.1,188,1
1777372255.155204601,10.60.0.4,10.60.0.1,188,1
1777372255.175946010,10.60.0.4,10.60.0.1,188,1
1777372255.197274807,10.60.0.4,10.60.0.1,188,1
1777372255.218979193,10.60.0.4,10.60.0.1,188,1
1777372255.240148764,10.60.0.4,10.60.0.1,188,1
1777372255.261342452,10.60.0.4,10.60.0.1,188,1
1777372255.281991661,10.60.0.4,10.60.0.1,188,1
1777372255.303265285,10.60.0.4,10.60.0.1,188,1
1777372255.324465725,10.60.0.4,10.60.0.1,188,1
1777372255.345361543,10.60.0.4,10.60.0.1,188,1
1777372255.366113483,10.60.0.4,10.60.0.1,188,1
1777372255.387388418,10.60.0.4,10.60.0.1,188,1
1777372255.408178195,10.60.0.4,10.60.0.1,188,1
1777372255.429305946,10.60.0.4,10.60.0.1,188,1
1777372255.450486505,10.60.0.4,10.60.0.1,188,1
1777372255.471568198,10.60.0.4,10.60.0.1,188,1
1777372255.492667622,10.60.0.4,10.60.0.1,188,1
1777372255.513422057,10.60.0.4,10.60.0.1,188,1
1777372255.534093444,10.60.0.4,10.60.0.1,188,1
1777372255.556075082,10.60.0.4,10.60.0.1,188,1
1777372255.576629126,10.60.0.4,10.60.0.1,188,1
1777372255.597532091,10.60.0.4,10.60.0.1,188,1
1777372255.618524599,10.60.0.4,10.60.0.1,188,1
1777372255.639659896,10.60.0.4,10.60.0.1,188,1
1777372255.660556442,10.60.0.4,10.60.0.1,188,1
1777372255.681349465,10.60.0.4,10.60.0.1,188,1
1777372255.702519639,10.60.0.4,10.60.0.1,188,1
1777372255.723571862,10.60.0.4,10.60.0.1,188,1
1777372255.744460112,10.60.0.4,10.60.0.1,188,1
1777372255.765726989,10.60.0.4,10.60.0.1,188,1
1777372255.786911989,10.60.0.4,10.60.0.1,188,1
1777372255.808082177,10.60.0.4,10.60.0.1,188,1
1777372255.828935127,10.60.0.4,10.60.0.1,188,1
1777372255.850067614,10.60.0.4,10.60.0.1,188,1
1777372255.871172729,10.60.0.4,10.60.0.1,188,1
1777372255.892104220,10.60.0.4,10.60.0.1,188,1
1777372255.913060761,10.60.0.4,10.60.0.1,188,1
1777372255.934284139,10.60.0.4,10.60.0.1,188,1
1777372255.955197096,10.60.0.4,10.60.0.1,188,1
1777372255.975017921,10.60.0.4,10.60.0.1,188,1
1777372255.996272247,10.60.0.4,10.60.0.1,188,1
1777372256.017535115,10.60.0.4,10.60.0.1,188,1
1777372256.039017139,10.60.0.4,10.60.0.1,188,1
1777372256.060468931,10.60.0.4,10.60.0.1,188,1
1777372256.082669336,10.60.0.4,10.60.0.1,188,1
1777372256.104813890,10.60.0.4,10.60.0.1,188,1
1777372256.125713695,10.60.0.4,10.60.0.1,188,1
1777372256.146663987,10.60.0.4,10.60.0.1,188,1
1777372256.167644988,10.60.0.4,10.60.0.1,188,1
1777372256.188403588,10.60.0.4,10.60.0.1,188,1
1777372256.209397696,10.60.0.4,10.60.0.1,188,1
1777372256.230166030,10.60.0.4,10.60.0.1,188,1
1777372256.251188128,10.60.0.4,10.60.0.1,188,1
1777372256.272331161,10.60.0.4,10.60.0.1,188,1
1777372256.293260970,10.60.0.4,10.60.0.1,188,1
1777372256.314637549,10.60.0.4,10.60.0.1,188,1
1777372256.335403006,10.60.0.4,10.60.0.1,188,1
1777372256.356314609,10.60.0.4,10.60.0.1,188,1
1777372256.377353815,10.60.0.4,10.60.0.1,188,1
1777372256.398359701,10.60.0.4,10.60.0.1,188,1
1777372256.420330929,10.60.0.4,10.60.0.1,188,1
1777372256.440381494,10.60.0.4,10.60.0.1,188,1
1777372256.461328477,10.60.0.4,10.60.0.1,188,1
1777372256.482333349,10.60.0.4,10.60.0.1,188,1
1777372256.503533012,10.60.0.4,10.60.0.1,188,1
1777372256.524537043,10.60.0.4,10.60.0.1,188,1
1777372256.545820138,10.60.0.4,10.60.0.1,188,1
1777372256.566890372,10.60.0.4,10.60.0.1,188,1
1777372256.587632380,10.60.0.4,10.60.0.1,188,1
1777372256.608448534,10.60.0.4,10.60.0.1,188,1
1777372256.629387645,10.60.0.4,10.60.0.1,188,1
1777372256.650300512,10.60.0.4,10.60.0.1,188,1
1777372256.671420329,10.60.0.4,10.60.0.1,188,1
1777372256.692429976,10.60.0.4,10.60.0.1,188,1
1777372256.713276187,10.60.0.4,10.60.0.1,188,1
1777372256.735621270,10.60.0.4,10.60.0.1,188,1
1777372256.756884138,10.60.0.4,10.60.0.1,188,1
1777372256.777871088,10.60.0.4,10.60.0.1,188,1
1777372256.798873263,10.60.0.4,10.60.0.1,188,1
1777372256.819828640,10.60.0.4,10.60.0.1,188,1
1777372256.840944147,10.60.0.4,10.60.0.1,188,1
1777372256.861406292,10.60.0.4,10.60.0.1,188,1
1777372256.882835251,10.60.0.4,10.60.0.1,188,1
1777372256.903956760,10.60.0.4,10.60.0.1,188,1
1777372256.924740006,10.60.0.4,10.60.0.1,188,1
1777372256.945479023,10.60.0.4,10.60.0.1,188,1
1777372256.966905988,10.60.0.4,10.60.0.1,188,1
1777372256.987959075,10.60.0.4,10.60.0.1,188,1
1777372257.008814458,10.60.0.4,10.60.0.1,188,1
1777372257.029582145,10.60.0.4,10.60.0.1,188,1
1777372257.050433282,10.60.0.4,10.60.0.1,188,1
1777372257.071397159,10.60.0.4,10.60.0.1,188,1
1777372257.092263195,10.60.0.4,10.60.0.1,188,1
1777372257.113160524,10.60.0.4,10.60.0.1,188,1
1777372257.134163657,10.60.0.4,10.60.0.1,188,1
1777372257.155423636,10.60.0.4,10.60.0.1,188,1
1777372257.177456413,10.60.0.4,10.60.0.1,188,1
1777372257.198929509,10.60.0.4,10.60.0.1,188,1
1777372257.219712466,10.60.0.4,10.60.0.1,188,1
1777372257.241461404,10.60.0.4,10.60.0.1,188,1
1777372257.262623749,10.60.0.4,10.60.0.1,188,1
1777372257.283523091,10.60.0.4,10.60.0.1,188,1
1777372257.304231396,10.60.0.4,10.60.0.1,188,1
1777372257.325446605,10.60.0.4,10.60.0.1,188,1
1777372257.346200456,10.60.0.4,10.60.0.1,188,1
1777372257.367198119,10.60.0.4,10.60.0.1,188,1
1777372257.388389482,10.60.0.4,10.60.0.1,188,1
1777372257.409190677,10.60.0.4,10.60.0.1,188,1
1777372257.430226324,10.60.0.4,10.60.0.1,188,1
1777372257.451514342,10.60.0.4,10.60.0.1,188,1
1777372257.472331357,10.60.0.4,10.60.0.1,188,1
1777372257.493441460,10.60.0.4,10.60.0.1,188,1
1777372257.514228272,10.60.0.4,10.60.0.1,188,1
1777372257.535240234,10.60.0.4,10.60.0.1,188,1
1777372257.556294224,10.60.0.4,10.60.0.1,188,1
1777372257.577028799,10.60.0.4,10.60.0.1,188,1
1777372257.598355381,10.60.0.4,10.60.0.1,188,1
1777372257.619134268,10.60.0.4,10.60.0.1,188,1
1777372257.641051627,10.60.0.4,10.60.0.1,188,1
1777372257.662410879,10.60.0.4,10.60.0.1,188,1
1777372257.683683299,10.60.0.4,10.60.0.1,188,1
1777372257.704668150,10.60.0.4,10.60.0.1,188,1
1777372257.725592012,10.60.0.4,10.60.0.1,188,1
1777372257.746506878,10.60.0.4,10.60.0.1,188,1
1777372257.767894417,10.60.0.4,10.60.0.1,188,1
1777372257.788772103,10.60.0.4,10.60.0.1,188,1
1777372257.809790726,10.60.0.4,10.60.0.1,188,1
1777372257.831528212,10.60.0.4,10.60.0.1,188,1
1777372257.852362242,10.60.0.4,10.60.0.1,188,1
1777372257.873106590,10.60.0.4,10.60.0.1,188,1
1777372257.893352258,10.60.0.4,10.60.0.1,188,1
1777372257.914291782,10.60.0.4,10.60.0.1,188,1
1777372257.935917626,10.60.0.4,10.60.0.1,188,1
1777372257.956749442,10.60.0.4,10.60.0.1,188,1
1777372257.977699127,10.60.0.4,10.60.0.1,188,1
1777372257.998893062,10.60.0.4,10.60.0.1,188,1
1777372258.019744877,10.60.0.4,10.60.0.1,188,1
1777372258.040507019,10.60.0.4,10.60.0.1,188,1
1777372258.061661119,10.60.0.4,10.60.0.1,188,1
1777372258.082417405,10.60.0.4,10.60.0.1,188,1
1777372258.104063189,10.60.0.4,10.60.0.1,188,1
1777372258.124677974,10.60.0.4,10.60.0.1,188,1
1777372258.145791837,10.60.0.4,10.60.0.1,188,1
1777372258.166607149,10.60.0.4,10.60.0.1,188,1
1777372258.187214482,10.60.0.4,10.60.0.1,188,1
1777372258.209389091,10.60.0.4,10.60.0.1,188,1
1777372258.230358404,10.60.0.4,10.60.0.1,188,1
1777372258.251874779,10.60.0.4,10.60.0.1,188,1
1777372258.272348375,10.60.0.4,10.60.0.1,188,1
1777372258.294519712,10.60.0.4,10.60.0.1,188,1
1777372258.315743212,10.60.0.4,10.60.0.1,188,1
1777372258.336572942,10.60.0.4,10.60.0.1,188,1
1777372258.357417061,10.60.0.4,10.60.0.1,188,1
1777372258.378572191,10.60.0.4,10.60.0.1,188,1
1777372258.399441434,10.60.0.4,10.60.0.1,188,1
1777372258.420201463,10.60.0.4,10.60.0.1,188,1
1777372258.440985400,10.60.0.4,10.60.0.1,188,1
1777372258.462428454,10.60.0.4,10.60.0.1,188,1
1777372258.483509170,10.60.0.4,10.60.0.1,188,1
1777372258.504408858,10.60.0.4,10.60.0.1,188,1
1777372258.525254026,10.60.0.4,10.60.0.1,188,1
1777372258.546692100,10.60.0.4,10.60.0.1,188,1
1777372258.568067032,10.60.0.4,10.60.0.1,188,1
1777372258.588660790,10.60.0.4,10.60.0.1,188,1
1777372258.609331454,10.60.0.4,10.60.0.1,188,1
1777372258.630394113,10.60.0.4,10.60.0.1,188,1
1777372258.651260692,10.60.0.4,10.60.0.1,188,1
1777372258.672134269,10.60.0.4,10.60.0.1,188,1
1777372258.693148323,10.60.0.4,10.60.0.1,188,1
1777372258.713965865,10.60.0.4,10.60.0.1,188,1
1777372258.735323798,10.60.0.4,10.60.0.1,188,1
1777372258.756180497,10.60.0.4,10.60.0.1,188,1
1777372258.777172079,10.60.0.4,10.60.0.1,188,1
1777372258.798349754,10.60.0.4,10.60.0.1,188,1
1777372258.819368495,10.60.0.4,10.60.0.1,188,1
1777372258.840482832,10.60.0.4,10.60.0.1,188,1
1777372258.861404501,10.60.0.4,10.60.0.1,188,1
1777372258.882529210,10.60.0.4,10.60.0.1,188,1
1777372258.903327808,10.60.0.4,10.60.0.1,188,1
1777372258.924321697,10.60.0.4,10.60.0.1,188,1
1777372258.945616747,10.60.0.4,10.60.0.1,188,1
1777372258.966307299,10.60.0.4,10.60.0.1,188,1
1777372258.987550469,10.60.0.4,10.60.0.1,188,1
1777372259.008450393,10.60.0.4,10.60.0.1,188,1
1777372259.029851889,10.60.0.4,10.60.0.1,188,1
1777372259.050594238,10.60.0.4,10.60.0.1,188,1
1777372259.071411006,10.60.0.4,10.60.0.1,188,1
1777372259.092401582,10.60.0.4,10.60.0.1,188,1
1777372259.113544430,10.60.0.4,10.60.0.1,188,1
1777372259.134446948,10.60.0.4,10.60.0.1,188,1
1777372259.155371103,10.60.0.4,10.60.0.1,188,1
1777372259.176185759,10.60.0.4,10.60.0.1,188,1
1777372259.197413139,10.60.0.4,10.60.0.1,188,1
1777372259.218508760,10.60.0.4,10.60.0.1,188,1
1777372259.239106296,10.60.0.4,10.60.0.1,188,1
1777372259.260383425,10.60.0.4,10.60.0.1,188,1
1777372259.281419373,10.60.0.4,10.60.0.1,188,1
1777372259.302247811,10.60.0.4,10.60.0.1,188,1
1777372259.323371364,10.60.0.4,10.60.0.1,188,1
1777372259.344379069,10.60.0.4,10.60.0.1,188,1
1777372259.366028991,10.60.0.4,10.60.0.1,188,1
1777372259.386718138,10.60.0.4,10.60.0.1,188,1
1777372259.407911263,10.60.0.4,10.60.0.1,188,1
1777372259.428756166,10.60.0.4,10.60.0.1,188,1
1777372259.449808309,10.60.0.4,10.60.0.1,188,1
1777372259.470748722,10.60.0.4,10.60.0.1,188,1
1777372259.491691283,10.60.0.4,10.60.0.1,188,1
1777372259.513112526,10.60.0.4,10.60.0.1,188,1
1777372259.533988891,10.60.0.4,10.60.0.1,188,1
1777372259.555159461,10.60.0.4,10.60.0.1,188,1
1777372259.576043081,10.60.0.4,10.60.0.1,188,1
1777372259.597295280,10.60.0.4,10.60.0.1,188,1
1777372259.618378231,10.60.0.4,10.60.0.1,188,1
1777372259.639276235,10.60.0.4,10.60.0.1,188,1
1777372259.660280714,10.60.0.4,10.60.0.1,188,1
1777372259.682267757,10.60.0.4,10.60.0.1,188,1
1777372259.703269742,10.60.0.4,10.60.0.1,188,1
1777372259.724518502,10.60.0.4,10.60.0.1,188,1
1777372259.745458133,10.60.0.4,10.60.0.1,188,1
1777372259.766616755,10.60.0.4,10.60.0.1,188,1
1777372259.788227192,10.60.0.4,10.60.0.1,188,1
1777372259.810342614,10.60.0.4,10.60.0.1,188,1
1777372259.831461592,10.60.0.4,10.60.0.1,188,1
1777372259.852319440,10.60.0.4,10.60.0.1,188,1
1777372259.873419444,10.60.0.4,10.60.0.1,188,1
1777372259.894515019,10.60.0.4,10.60.0.1,188,1
1777372259.915944486,10.60.0.4,10.60.0.1,188,1
1777372259.936991343,10.60.0.4,10.60.0.1,188,1
1777372259.958193678,10.60.0.4,10.60.0.1,188,1
1777372259.980087390,10.60.0.4,10.60.0.1,188,1
1777372260.000648630,10.60.0.4,10.60.0.1,188,1
1777372260.022023084,10.60.0.4,10.60.0.1,188,1
1777372260.042909107,10.60.0.4,10.60.0.1,188,1
1777372260.064349706,10.60.0.4,10.60.0.1,188,1
1777372260.086797112,10.60.0.4,10.60.0.1,188,1
1777372260.107786650,10.60.0.4,10.60.0.1,188,1
1777372260.129710971,10.60.0.4,10.60.0.1,188,1
1777372260.150899878,10.60.0.4,10.60.0.1,188,1
1777372260.171816740,10.60.0.4,10.60.0.1,188,1
1777372260.193448135,10.60.0.4,10.60.0.1,188,1
1777372260.213856508,10.60.0.4,10.60.0.1,188,1
1777372260.234887956,10.60.0.4,10.60.0.1,188,1
1777372260.256039121,10.60.0.4,10.60.0.1,188,1
1777372260.276821595,10.60.0.4,10.60.0.1,188,1
1777372260.297737642,10.60.0.4,10.60.0.1,188,1
1777372260.319229853,10.60.0.4,10.60.0.1,188,1
1777372260.341096644,10.60.0.4,10.60.0.1,188,1
1777372260.361495874,10.60.0.4,10.60.0.1,188,1
1777372260.382512534,10.60.0.4,10.60.0.1,188,1
1777372260.403642548,10.60.0.4,10.60.0.1,188,1
1777372260.424481889,10.60.0.4,10.60.0.1,188,1
1777372260.445406774,10.60.0.4,10.60.0.1,188,1
1777372260.466552285,10.60.0.4,10.60.0.1,188,1
1777372260.488808629,10.60.0.4,10.60.0.1,188,1
1777372260.509661625,10.60.0.4,10.60.0.1,188,1
1777372260.530461641,10.60.0.4,10.60.0.1,188,1
1777372260.552734914,10.60.0.4,10.60.0.1,188,1
1777372260.573982789,10.60.0.4,10.60.0.1,188,1
1777372260.594922718,10.60.0.4,10.60.0.1,188,1
1777372260.615992755,10.60.0.4,10.60.0.1,188,1
1777372260.636994038,10.60.0.4,10.60.0.1,188,1
1777372260.657967509,10.60.0.4,10.60.0.1,188,1
1777372260.678147843,10.60.0.4,10.60.0.1,188,1
1777372260.699334112,10.60.0.4,10.60.0.1,188,1
1777372260.721411835,10.60.0.4,10.60.0.1,188,1
1777372260.741282449,10.60.0.4,10.60.0.1,188,1
1777372260.762491571,10.60.0.4,10.60.0.1,188,1
1777372260.783309019,10.60.0.4,10.60.0.1,188,1
1777372260.804010683,10.60.0.4,10.60.0.1,188,1
1777372260.825061940,10.60.0.4,10.60.0.1,188,1
1777372260.846092502,10.60.0.4,10.60.0.1,188,1
1777372260.867234327,10.60.0.4,10.60.0.1,188,1
1777372260.888275685,10.60.0.4,10.60.0.1,188,1
1777372260.909059733,10.60.0.4,10.60.0.1,188,1
1777372260.930416110,10.60.0.4,10.60.0.1,188,1
1777372260.951103279,10.60.0.4,10.60.0.1,188,1
1777372260.971964048,10.60.0.4,10.60.0.1,188,1
1777372260.993058669,10.60.0.4,10.60.0.1,188,1
1777372261.014392209,10.60.0.4,10.60.0.1,188,1
1777372261.035148434,10.60.0.4,10.60.0.1,188,1
1777372261.056273534,10.60.0.4,10.60.0.1,188,1
1777372261.077032206,10.60.0.4,10.60.0.1,188,1
1777372261.098093531,10.60.0.4,10.60.0.1,188,1
1777372261.119390238,10.60.0.4,10.60.0.1,188,1
1777372261.140135347,10.60.0.4,10.60.0.1,188,1
1777372261.161176297,10.60.0.4,10.60.0.1,188,1
1777372261.182302033,10.60.0.4,10.60.0.1,188,1
1777372261.203177541,10.60.0.4,10.60.0.1,188,1
1777372261.224218676,10.60.0.4,10.60.0.1,188,1
1777372261.245166306,10.60.0.4,10.60.0.1,188,1
1777372261.266102316,10.60.0.4,10.60.0.1,188,1
1777372261.287114184,10.60.0.4,10.60.0.1,188,1
1777372261.308168382,10.60.0.4,10.60.0.1,188,1
1777372261.328969867,10.60.0.4,10.60.0.1,188,1
1777372261.349990696,10.60.0.4,10.60.0.1,188,1
1777372261.371114538,10.60.0.4,10.60.0.1,188,1
1777372261.392064060,10.60.0.4,10.60.0.1,188,1
